,GRMLegalEntityCostAccountingEmployeeGroupInsuranceChargedTypeCode,"A code denoting how the cost of Employee Group Insurance self-insurance programs are charged to Federally sponsored agreements or similar cost objectives. (248, augmented) This is only applicable to award recipients that are Institutions of Higher Education (IHEs).","(84) 2 CFR 200.419;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);","N/A;
Other or more than one method;
When accrued (book accrual only);
When contributions are made to a forfeitable fund;
When contributions are made to a nonforfeitable fund;
When the benefits are paid to an employee welfare plan;"
,GRMLegalEntityCostAccountingWorkersCompensationAndLiabilityChargedTypeCode,"A code denoting how costs of Worker's Compensation and Liability self-insurance programs are charged to Federally sponsored agreements or similar cost objectives. (248, augmented) This is only applicable to award recipients that are Institutions of Higher Education (IHEs).","(84) 2 CFR 200.419;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);","N/A;
Other or more than one method;
When claims are paid or losses are incurred (no provisions for reserves);
When funds are set aside or contributions are made to a fund;
When provisions for reserves are recorded based on the full or undiscounted value, as contrasted with present value, of the liability;
When provisions for reserves are recorded based on the present value of the liability;"
,GRMLegalEntityCostAccountingCasualtyInsuranceChargedTypeCode,"A code denoting how costs of casualty insurance self-insurance programs are charged to Federally sponsored agreements or similar cost objectives. (248, augmented) This is only applicable to award recipients that are Institutions of Higher Education (IHEs).","(84) 2 CFR 200.419;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);","Losses are charged to fund balance with no charge to contracts and grants (no provisions for reserves);
N/A;
Other or more than one method;
When losses are incurred (no provisions for reserves);
When provisions for reserves are recorded based on replacement costs;
When provisions for reserves are recorded based on reproduction costs new less observed depreciation (market value) excluding the value of land and other indestructibles;"
,GRMLegalEntityIndirectCostRateDeviationJustificationText,A justification for deviations from negotiated indirect (F&A) cost rates for grant awards.,"(84) 2 CFR 200.419;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);",
,GRMLegalEntityAuditTechnicalAdviceText,A narrative describing the technical grant recipient audit advice and liaison assistance. (compiled from 100),(100) 2 CFR 200.513;,
,GRMLegalEntityAuditPerformedNonComplianceNoticeText,A notice indicating the inability or unwillingness of grant recipient to have audit performed. (compiled from 97),"(62) 2 CFR 200.338;
(97) 2 CFR 200.505;",
,GRMLegalEntityAuditNoncomplianceActionNoticeTypeText,A description of actions the Federal agency or pass-through entity takes relating to the grant recipient noncompliance with a request to perform an audit. (compiled from 62),(62) 2 CFR 200.338;,
,GRMLegalEntityAuditNoncomplianceConditionsNoticeText,A description of additional conditions imposed on the grant recipient due to noncompliance a request to perform an audit. (compiled from 62),(62) 2 CFR 200.338;,
,GrantAwardDirectAwardIndicator,An indicator denoting whether the award was received directly from a Federal agency or was received by a subrecipient from a pass-through entity. (221),"(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;","No;
Yes;"
,GRMLegalEntityAuditFindingsText,A description of the grant recipient audit finding based on the auditor's review. (compiled from 101),"(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(103) 2 CFR 200.517;",
,GRMLegalEntityComplianceWithFederalStatutesRegulationsTermsAndConditionsAuditorOpinionText,"An opinion from the auditor as to whether the grant recipient complied with Federal statutes, regulations, and the terms and conditions of Federal awards. (compiled from 101)","(34) 2 CFR 200.303;
(101) 2 CFR 200.515;
(110) 2 CFR 200.62;
(240) 2 CFR 200.508;
(241) 2 CFR 200.514;",
,GRMLegalEntityAuditTypeCode,"A code denoting whether a single audit or program-specific audit is required or performed. (221, augmented)","(96) 2 CFR 200.501;
(221) SF-SAC;
(222) FAC Data Dictionary;
(237) 2 CFR 200.504;
(238) 2 CFR 200.507;
(259) 2 CFR 200, Appendix X;","Program-specific audit;
Single audit;"
,GRMLegalEntityAuditPeriodCoveredQuantity,"A value indicating the number of months for the grant recipient audit period. (221, augmented)","(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityAuditClusterName,A name of a grouping of closely related grant programs that share common compliance requirements. (194),"(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(190) CDER;
(194) CDER 2 Intra-Agency Analysis;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityLoanBalanceAuditEndPeriodAmount,"A dollar amount that is outstanding for loan or loan guarantees for loan programs existing at the end of the grant recipient audit period. (221, augmented)","(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GrantAwardPassedThroughToSubrecipientFundingAmount,A dollar amount of the Federal award funding passed through to subrecipients. (221),"(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(187) DAIMS D2 V2;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityAuditAuditorOpinionTypeCode,"A code denoting the grant recipient auditor’s opinion corresponding to the item being reviewed (e.g., major program, special purpose framework). (221, augmented)","(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;","Adverse opinion;
Disclaimer of opinion;
Qualified opinion;
Unmodified opinion;"
,GRMLegalEntityCrossCuttingAuditFindingIndicator,An indicator denoting whether an associated grant audit finding is cross cutting across more than one Federal agency.,,
,GRMLegalEntityAuditFindingsTotalQuantity,"A value indicating the total count of grant recipient audit findings on the Federal program as a result of the current audit. (221, augmented)","(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityAuditOpinionOnFinancialStatementPreparedWithGAAPText,A description of the results of the auditor's determination of whether the financial statements of the grant recipient were prepared in accordance with generally accepted accounting principles (GAAP). (compiled from 221),"(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityFinancialStatementSpecialPurposeFrameworkTypeCode,A code denoting the special purpose framework that was used as the basis of accounting for the grant recipient. (compiled from 221),"(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;","Cash basis;
Contractual basis;
Other basis;
Regulatory basis;
Tax basis;"
,GRMLegalEntityAuditGoingConcernIndicator,"An indicator denoting the existence of a ""going concern” paragraph in the auditor’s report for a grant recipient single audit. (221, augmented)  ","(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityAuditSignificantDeficiencyDisclosedIndicator,"An indicator denoting the disclosure of a “significant deficiency” on a grant recipient single audit. (221, augmented) ","(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityAuditMaterialWeaknessDisclosedIndicator,"An indicator denoting the disclosure of a “material weakness"" on a grant recipient single audit. (221, augmented) ","(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityAuditMaterialNoncomplianceDisclosedIndicator,"An indicator denoting the disclosure of a “material noncompliance” on a grant recipient single audit. (221, augmented) ","(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
,GRMLegalEntityAuditWithOtherGuidanceIndicator,"An indicator denoting the auditor’s report includes a statement that the grant recipient’s financial statements include departments, agencies, or other organizational units expending $750,000 or more in Federal awards that have separate Uniform Guidance audits which are not included in this audit (AICPA Audit Guide). (221)","(99) 2 CFR 200.512;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(221) SF-SAC;
(222) FAC Data Dictionary;
(259) 2 CFR 200, Appendix X;",
